Label;Area;Major;Minor;Angle;Feret;Slice;FeretX;FeretY;FeretAngle;MinFeret;Scale_um;Scale_px
2022052431.tif_converted.tif:0506-0832;207342;930.899550217;283.592395788;179.633145626;919.628729434;1;373;498;177.881209547;285.801930051;1000;230
2022052432.tif_converted.tif:0547-0757;228244;991.686477553;293.045527217;178.553471839;985.951317257;1;265;514;176.394666119;308.614206775;1000;230
2022052433.tif_converted.tif:0530-0709;238992;989.108193622;307.644873673;178.731544611;982.324793538;1;219;517;177.023999508;315.814261020;1000;230
2022052434.tif_converted.tif:0502-0690;264717;1108.704664302;304.001744934;0.263724857;1092.165280532;1;144;511;179.003195992;308.810308987;1000;230
2022052435.tif_converted.tif:0518-0739;236675;1020.205130896;295.375861309;177.724004567;1011.914027969;1;234;477;177.564555370;303.336880851;1000;230
2022052436.tif_converted.tif:0574-0773;203307;927.476628947;279.099768169;175.438645029;923.133793120;1;313;541;175.277593120;286.064683171;1000;230
2022052437.tif_converted.tif:0527-0818;215514;939.682570329;292.014512037;176.552296720;930.619686016;1;355;480;174.944922358;303.203294017;1000;230
2022052438.tif_converted.tif:0584-0802;220284;980.643822369;286.010367347;178.951906362;961.961537693;1;322;594;177.438005961;293.261197717;1000;230
2022052439.tif_converted.tif:0518-0792;205794;917.457989786;285.598972145;178.093577306;912.035087044;1;336;505;179.497418333;292.583241154;1000;230
2022052440.tif_converted.tif:0552-0751;214403;955.825059990;285.602867655;177.984533971;950.278380265;1;276;534;178.613109955;287.384783356;1000;230
2022052441.tif_converted.tif:0491-0811;236889;1035.148957843;291.374917810;176.785948480;1023.535539197;1;301;463;175.966230981;295.913318324;1000;230
2022052501.tif_converted.tif:0576-0897;213938;1063.611332037;256.103252680;177.473545953;1024.001953123;1;386;555;176.416685145;251.856261527;500;115
2022052502.tif_converted.tif:0493-0875;200553;978.779666000;260.888143967;179.439720405;954.277213392;1;398;459;178.618922751;261.808333972;500;115
2022052503.tif_converted.tif:0594-0712;213113;1089.015454509;249.164415412;179.281212517;1046.038718213;1;189;592;0.492972553;246.000000000;500;115
2022052504.tif_converted.tif:0488-0827;202618;1048.079408535;246.146664055;0.324285489;1009.388428703;1;323;489;1.589564133;241.000000000;500;115
2022052505.tif_converted.tif:0412-0763;200864;1042.044635824;245.429014383;179.257902564;999.153641839;1;264;384;177.246413097;245.000000000;500;115
