Label,Length
2022042521+AF8-side.tif,930.472
2022011427+AF8-side.jpg,930.435
2022011201+AF8-side.jpg,930.435
2022042904+AF8-side.tif,930.223
2022080914+AF8-side.tif,930.197
2022050519+AF8-side.tif,928.141
2022092316+AF8-side.tif,927.955
2022031521+AF8-side.jpg,927.955
2022031543+AF8-side.jpg,927.831
2022031540+AF8-side.jpg,927.790
2022050238+AF8-side.tif,927.788
2022050512+AF8-side.tif,927.151
2021120301+AF8-side.tif,927.147
2022050501+AF8-side.tif,927.110
2022042827+AF8-side.tif,926.794
2022110207+AF8-side.tif,926.423
2021121502+AF8-side.jpg,926.177
2022042828+AF8-side.tif,926.135
2022052509+AF8-side.tif,925.805
2022052502+AF8-side.tif,925.805
2022042804+AF8-side.tif,925.805
2022042903+AF8-side.tif,925.764
2022050433+AF8-side.tif,925.702
2021120120+AF8-side.jpg,925.392
2021120909+AF8-side.jpg,924.766
2022032420+AF8-side.tif,924.583
2022032415+AF8-side.tif,924.460
20230314+AC0-CantonS+AC0-profile15.tif,924.419
2022020805+AF8-side.jpg,923.788
2022050411+AF8-side.tif,923.447
2022042229+AF8-side.tif,922.391
2022021828+AF8-side.jpg,921.761
2022080903+AF8-side.tif,921.053
2022050243+AF8-side.tif,919.702
2021121731+AF8-side.jpg,919.115
2021121725+AF8-side.jpg,919.115
2022050251+AF8-side.tif,919.035
2021120305+AF8-side.tif,918.407
2021120320+AF8-side.tif,918.199
2021120307+AF8-side.tif,918.199
2022052501+AF8-side.tif,917.405
2022042805+AF8-side.tif,917.405
2022032423+AF8-side.tif,917.175
2022110215+AF8-side.tif,917.031
2022110213+AF8-side.tif,917.031
2022110212+AF8-side.tif,917.031
2021120127+AF8-side.jpg,916.744
2021120119+AF8-side.jpg,916.703
2022042905+AF8-side.tif,915.738
2022080916+AF8-side.tif,915.340
2022050430+AF8-side.tif,914.369
2022032406+AF8-side.tif,913.416
2022021832+AF8-side.jpg,913.190
2022031538+AF8-side.jpg,913.085
2022031540+AF8-side.jpg,913.043
2021121709+AF8-side.jpg,910.775
2021120206+AF8-side.jpg,910.732
2022050355+AF8-side.tif,910.684
2021121714+AF8-side.jpg,910.445
2021121713+AF8-side.jpg,910.445
2022050514+AF8-side.tif,909.617
2022050509+AF8-side.tif,909.617
2022021119+AF8-side.jpg,908.338
2022110210+AF8-side.tif,908.297
2021120124+AF8-side.jpg,908.055
2022032416+AF8-side.tif,907.144
2022042908+AF8-side.tif,906.976
2022020804+AF8-side.jpg,906.973
2022050432+AF8-side.tif,906.330
2022011413+AF8-side.jpg,905.392
2022011425+AF8-side.jpg,904.390
2022021834+AF8-side.jpg,904.370
2022050626+AF8-side.jpg,904.346
2022080910+AF8-side.tif,903.679
2022080904+AF8-side.tif,903.551
2022092101+AF8-side.tif,902.759
2022092318+AF8-side.tif,901.702
2022092305+AF8-side.tif,901.702
2022031522+AF8-side.jpg,901.532
2021120105+AF8-side.jpg,901.442
2021120312+AF8-side.tif,900.589
2021120207+AF8-side.jpg,900.589
2021120126+AF8-side.jpg,900.155
2022050440+AF8-side.tif,899.733
2022021128+AF8-side.jpg,899.732
2022042812+AF8-side.tif,899.563
2021120104+AF8-side.jpg,899.448
2022032406+AF8-side.tif,898.933
20230314+AC0-CantonS+AC0-profile9.tif,898.425
2022032421+AF8-side.tif,898.425
20230314+AC0-CantonS+AC0-profile7.tif,898.298
2021121405+AF8-side.jpg,897.595
2021121741+AF8-side.jpg,897.440
2022042232+AF8-side.tif,895.817
2022021112+AF8-side.jpg,895.694
2022032420+AF8-side.tif,895.652
2022021841+AF8-side.jpg,895.633
2022092311+AF8-side.tif,893.165
2021121738+AF8-side.jpg,893.105
2021121708+AF8-side.jpg,893.063
2021121707+AF8-side.jpg,893.063
2022050248+AF8-side.tif,892.948
2022092307+AF8-side.tif,892.822
2022050524+AF8-side.tif,892.167
2022050502+AF8-side.tif,892.167
2021120306+AF8-side.tif,891.975
2021120122+AF8-side.jpg,891.137
2022110205+AF8-side.tif,891.001
2022052510+AF8-side.tif,890.873
2022110201+AF8-side.tif,890.873
2022042801+AF8-side.tif,890.873
2022021122+AF8-side.jpg,890.872
2022110209+AF8-side.tif,890.830
2022032423+AF8-side.tif,890.603
20230314+AC0-CantonS+AC0-profile8.tif,889.578
2022050350+AF8-side.tif,889.271
2021120910+AF8-side.jpg,889.051
2022050338+AF8-side.tif,888.929
2022050427+AF8-side.tif,888.628
2022050435+AF8-side.tif,888.415
2022020204+AF8-side.jpg,888.411
2022012809+AF8-side.jpg,887.127
2022031522+AF8-side.jpg,886.999
2022012801+AF8-side.jpg,886.999
2022021830+AF8-side.jpg,886.980
2022092103+AF8-side.tif,885.413
