Label,Area,Major,Minor,Angle,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,Scale+AF8-um,Scale+AF8-px
2022042724.tif+AF8-converted.tif:0571+AC0-0839,149334,764.126990513,248.830307703,179.053450437,750.005999976,1,464,565,179.770818104,249.000000000,1000,230
2022042725.tif+AF8-converted.tif:0623+AC0-0645,105350,623.130646389,215.261096233,179.581124888,612.029411058,1,339,623,179.438294667,216.000000000,1000,230
2022042726.tif+AF8-converted.tif:0534+AC0-0677,114161,601.547924236,241.633781466,0.110780372,603.477422941,1,376,546,177.720773979,240.084481121,1000,230
2022042727.tif+AF8-converted.tif:0618+AC0-0885,101347,628.043202687,205.461993042,2.406303368,611.360777283,1,580,626,1.968474509,204.231350132,1000,230
2022042728.tif+AF8-converted.tif:0522+AC0-0764,119669,679.641287738,224.187826472,179.696779559,677.124803858,1,426,524,178.899920820,223.799954110,1000,230
2022042729.tif+AF8-converted.tif:0546+AC0-0909,114059,665.258708525,218.297674832,176.366426066,648.789642334,1,585,540,177.172875422,218.992118655,1000,230
2022042731.tif+AF8-converted.tif:0488+AC0-0898,107558,640.090202420,213.949687770,178.056899179,626.258732474,1,585,478,178.352971339,212.647577503,1000,230
2022042732.tif+AF8-converted.tif:0540+AC0-0768,113595,656.514782983,220.305238866,178.162652522,642.281091112,1,447,536,178.304825312,219.112559912,1000,230
2022042733.tif+AF8-converted.tif:0567+AC0-0839,134221,714.145517223,239.300647855,177.787508101,700.559776179,1,489,552,177.709389957,242.527457969,1000,230
2022042734.tif+AF8-converted.tif:0573+AC0-0746,135839,716.287322609,241.461186116,179.124772841,702.728966245,1,395,558,177.390033329,242.992496015,1000,230
2022042735.tif+AF8-converted.tif:0735+AC0-0798,131349,701.387933163,238.439717957,1.330607258,690.018115704,1,453,740,179.584820459,238.000000000,1000,230
2022042736.tif+AF8-converted.tif:0758+AC0-0920,128291,707.797133244,230.779649651,179.805184789,692.122099055,1,574,751,178.923760796,228.990920486,1000,230
2022042737.tif+AF8-converted.tif:0561+AC0-0800,126052,693.703511390,231.358769932,179.162348458,679.165664621,1,461,562,178.734466974,233.368754112,1000,230
2022042738.tif+AF8-converted.tif:0630+AC0-0692,127990,713.054759143,228.540553500,178.882746308,699.160925682,1,343,626,178.770665514,228.036879232,1000,230
2022042739.tif+AF8-converted.tif:0657+AC0-0947,142355,736.709500896,246.029154192,2.072030653,729.888347626,1,583,675,2.827124578,248.020591653,1000,230
2022042740.tif+AF8-converted.tif:0601+AC0-0858,138689,735.701785747,240.021599296,0.920170458,724.024861452,1,496,608,0.474816032,241.000000000,1000,230
2022042741.tif+AF8-converted.tif:0518+AC0-0814,131095,697.056128530,239.457529007,0.350941921,691.261166275,1,469,526,1.575029789,245.121635507,1000,230
2022042742.tif+AF8-converted.tif:0620+AC0-0793,134355,709.148611569,241.227432787,0.250257407,698.315831125,1,444,620,1.723278699,249.000000000,1000,230
2022042743.tif+AF8-converted.tif:0598+AC0-0765,128020,699.089389961,233.160635618,177.574406001,690.122452902,1,420,584,178.920641999,236.176656485,1000,230
2022042744.tif+AF8-converted.tif:0597+AC0-0965,138761,721.834638892,244.759648468,2.424467993,709.304589017,1,611,618,3.475559209,245.676516357,1000,230
2022042745.tif+AF8-converted.tif:0559+AC0-0919,119657,684.868171123,222.454525744,2.205716008,668.395840801,1,585,570,1.971979859,219.918945738,1000,230
2022042746.tif+AF8-converted.tif:0622+AC0-0869,118483,657.473823155,229.449805705,1.155692761,644.027949704,1,547,626,179.466203834,229.000000000,1000,230
2022042747.tif+AF8-converted.tif:0488+AC0-0775,138947,725.184885591,243.955463686,177.411219711,716.226221246,1,417,468,178.559906638,246.886029910,1000,230
2022042748.tif+AF8-converted.tif:0572+AC0-0951,114434,676.090892877,215.506369923,176.960494970,658.984066575,1,622,552,176.868398639,215.316672684,1000,230
2022042749.tif+AF8-converted.tif:0585+AC0-0901,128076,710.493241950,229.518619324,178.823264173,692.011560597,1,555,577,179.668814212,229.943814080,1000,230
2022042750.tif+AF8-converted.tif:0626+AC0-0867,134661,722.424586679,237.333714128,0.265048738,706.057363109,1,514,630,179.269640106,237.218694991,1000,230
2022042751.tif+AF8-converted.tif:0547+AC0-0850,138422,721.614424264,244.236199188,178.021059114,710.281634283,1,495,546,178.386461067,248.443091142,1000,230
2022042752.tif+AF8-converted.tif:0557+AC0-0680,113597,664.092251477,217.795332262,179.857702902,648.037807539,1,356,547,179.381088184,216.961531686,1000,230
2022042754.tif+AF8-converted.tif:0584+AC0-0959,121638,669.625272252,231.285045771,175.631187128,659.298111631,1,631,562,175.214707304,232.920520503,1000,230
2022042755.tif+AF8-converted.tif:0527+AC0-0789,131831,713.208374458,235.348389662,179.465367600,697.484766859,1,441,523,177.863701752,234.054279355,1000,230
2022042756.tif+AF8-converted.tif:0501+AC0-0914,107919,642.732204350,213.785364260,177.061817080,627.624887971,1,601,486,177.443035645,213.226755429,1000,230
